Málverkafölsunarmálið	nheng
veit	sfg1en
ég	fp1en
hvers	fshee
vegna	ae
,	,
hvað	fshen
fyrir	aþ
háttvirtum	lkeþsf
þingmanni	nkeþ
vakir	sfg3en
.	.

Það	fphen
hefur	sfg3en
ekkert	fohen
komið	ssg
fram	aa
um	ao
það	fpheo
að	c
þessi	faven
rannsókn	nven
hafi	svg3en
ekki	aa
verið	ssg
unnin	sþgven
af	aþ
miklum	lhfþsf
heilindum	nhfþ
og	c
af	aþ
miklu	lheþsf
afli	nheþ
af	aþ
hálfu	nveþ
ríkislögreglustjóraembættisins	nheeg
.	.
»	»

Stóra	lhenvf
málverkafölsunarmálið	nheng

Bæði	c
Hæstiréttur	nken-s
og	c
Héraðsdómur	nken-s
höfnuðu	sfg3fþ
í	ao
fyrravor	nheo
kröfu	nveþ
sakbornings	nkee
í	aþ
stóra	lheþvf
málverkafölsunarmálinu	nheþg
um	ao
að	c
bannað	sþghen
yrði	svg3eþ
að	cn
leiða	sng
fyrir	ao
dóm	nkeo
18	ta
vitni	nhfo
í	aþ
málinu	nheþg
vegna	ae
þess	fphee
að	c
þau	fphfn
væru	svg3fþ
vanhæf	lhfnsf
.	.

Meðal	ae
vitnanna	nhfeg
voru	sfg3fþ
sérfræðingar	nkfn
sem	ct
meirihluti	nken
Hæstaréttar	nkee-s
telur	sfg3en
nú	aa
að	c
ekki	aa
sé	svg3en
hægt	lhensf
að	cn
notast	snm
við	aa
vegna	ae
tengsla	nhfe
við	ao
einn	fokeo
kærenda	nkfe
í	aþ
málinu	nheþg
.	.

Annar	foken
sakborninga	nkfe
í	aþ
stóra	lheþvf
málverkafölsunarmálinu	nheþg
,	,
Pétur	nken-s
Þór	nken-s
Gunnarsson	nken-s
,	,
krafðist	sfm3eþ
þess	fphee
að	c
bannað	sþghen
yrði	svg3eþ
að	cn
leiða	sng
vitni	nhfo
fyrir	ao
réttinn	nkeog
.	.

Það	fphen
var	sfg3eþ
m.a.	as
rökstutt	sþghen
með	aþ
því	fpheþ
að	c
það	fphen
væri	svg3eþ
augljós	lvensf
mismunun	nven
gagnvart	aþ
sakborningum	nkfþ
að	cn
heimila	sng
kunnáttumönnum	nkfþ
sem	ct
hefðu	svg3fþ
hagsmunatengsl	nhfo
við	ao
rannsókn	nveo
málsins	nheeg
að	cn
bera	sng
vitni	nheo
fyrir	ao
ákæruvaldið	nheog
en	c
útiloka	sng
um	ao
leið	nveo
sérfræðivitni	nhfo
sakborninga	nkfe
.	.

Vitnin	nhfng
væru	svg3fþ
í	aþ
raun	nveþ
vanhæf	lhfnsf
vegna	ae
margvíslegra	lhfesf
hagsmunatengsla	nhfe
við	ao
raksakendur	x
og	c
kærendur	nkfo
.	.

Eitt	fohen
þeirra	fphfe
,	,
Viktor	nken-s
Smári	nken-s
Sæmundsson	nken-s
væri	svg3eþ
t.d.	as
forvörður	nken
hjá	aþ
Listasafni	nheþ-s
Íslands	nhee-s
sem	ct
lagði	sfg3eþ
inn	aa
kæru	nveo
vegna	ae
tveggja	tfhfe
verka	nhfe
í	aþ
eigu	nveþ
safnsins	nheeg
.	.

Héraðsdómur	nken
hafnaði	sfg3eþ
hins	fakee
vegar	nkee
kröfu	nveþ
Péturs	nkee-s
Þórs	nkee-s
.	.

Ekki	aa
yrði	svg3eþ
t.d.	as
séð	sþghen
að	c
sakborningum	nkfþ
væri	svg3eþ
mismunað	sþghen
eins	aa
og	c
haldið	sþghen
væri	svg3eþ
fram	aa
.	.

Framburður	nken
vitnanna	nhfeg
gæti	svg3eþ
haft	ssg
þýðingu	nveo
fyrir	ao
úrslit	nhfo
málsins	nheeg
en	c
á	ao
hinn	fakeo
bóginn	nkeog
kæmu	svg3fþ
meint	lhfnsf
tengslanna	nhfeg
vitnanna	nhfeg
innbyrðis	aa
og	c
við	ao
kærendur	nkfo
til	ae
álita	nhfe
þegar	c
dómarar	nkfn
þyrftu	svg3fþ
að	cn
meta	sng
skýrslu	nveo
þeirra	fphfe
.	.

Það	fphen
væri	svg3eþ
og	c
skylda	nven
verjanda	nkee
að	cn
reifa	sng
það	fpheo
í	aþ
málflutningi	nkeþ
sínum	fekeþ
.	.

Þetta	fahen
gæti	svg3eþ
ekki	aa
leitt	ssg
til	ae
þess	fphee
að	c
ákæruvaldinu	nheþg
yrði	svg3eþ
bannað	sþghen
að	cn
leiða	sng
fram	aa
vitnin	nhfog
og	c
kröfu	nveþ
Péturs	nkee-s
Þórs	nkee-s
þess	fahee
efnis	nhee
var	sfg3eþ
synjað	sþghen
.	.

Hæstiréttur	nken-s
staðfesti	sfg3eþ
þessa	faveo
niðurstöðu	nveo
og	c
vitnin	nhfng
sögðu	sfg3fþ
álit	nheo
sitt	feheo
í	aþ
héraði	nheþ
.	.

Meirihluti	nken
Hæstaréttar	nkee-s
telur	sfg3en
hins	fakee
vegar	nkee
núna	aa
í	aþ
sýknudómi	nkeþ
sínum	fekeþ
í	aþ
málinu	nheþg
að	c
álit	nhfn
sem	ct
Viktor	nken-s
Smári	nken-s
Sæmundsson	nken-s
vann	sfg3eþ
séu	svg3fn
ekki	aa
tæk	lhfnsf
fyrir	aþ
dómi	nkeþ
vegna	ae
þess	fphee
að	c
hann	fpken
hafi	svg3en
starfað	ssg
hjá	aþ
einum	fokeþ
kærenda	nkfe
,	,
Listasafni	nheþ-s
Íslands	nhee-s
.	.

Þetta	faheo
telja	sfg3fn
lögreglu-	nhen
og	c
ákæruvald	nhen
ganga	sng
þvert	aa
á	ao
fyrri	lveovm
niðurstöðu	nveo
dómstóla	nkfe
í	aþ
málinu	nheþg
en	c
þá	aa
má	sfg3en
líka	aa
ítreka	sng
að	c
Héraðsdómur	nken-s
benti	sfg3eþ
á	ao
það	fpheo
í	aþ
úrskurði	nkeþ
sínum	fekeþ
í	ao
fyrravor	nheo
að	cn
hafa	sng
þyrfti	svg3eþ
tengslin	nhfog
í	aþ
huga	nkeþ
þegar	c
skýrslur	nvfn
vitnanna	nhfeg
væru	svg3fþ
metnar	sþgvfn
.	.

Ákæruvaldið	nheng
er	sfg3en
ósátt	lhensf
við	ao
að	c
þeim	fphfþ
sé	svg3en
kastað	sþghen
út	aa
af	aþ
borðinu	nheþg
en	c
verjendur	nkfn
og	c
sakborningar	nkfn
segja	sfg3fn
að	c
önnur	foven
niðurstaða	nven
hafi	svg3en
ekki	aa
verið	ssg
möguleg	lvensf
til	ae
að	c
málsmeðferðin	nveng
yrði	svg3eþ
réttlát	lvensf
.	.

Málskotsrétturinn	nkeng

Mikill	lkensf
meirihluti	nken
þjóðarinnar	nveeg
er	sfg3en
andvígur	lkensf
fjölmiðlafrumvarpi	nheþ
ríkisstjórnarinnar	nveeg
og	c
telur	sfg3en
forseta	nkeo
lýðveldisins	nheeg
hafa	sng
vald	nheo
til	ae
að	cn
staðfesta	sng
ekki	aa
lög	nhfo
og	c
skjóta	sng
þeim	fphfþ
til	ae
þjóðarinnar	nveeg
.	.

7	ta
af	aþ
hverjum	fokfþ
10	ta
telja	sfg3fn
að	c
forsetinn	nkeng
eigi	svg3en
að	cn
nýta	sng
málskotsréttinn	nkeog
verði	svg3en
fjölmiðlafrumvarpið	nheng
að	aþ
lögum	nhfþ
.	.

Þetta	fahen
kemur	sfg3en
fram	aa
í	aþ
nýrri	lveþsf
skoðanakönnun	nveþ
Fréttablaðsins	nheegs
sem	ct
gerð	sþgven
var	sfg3eþ
í	aa
gær	aa
.	.

Fyrst	aae
var	sfg3eþ
spurt	sþghen
hvort	c
fólk	nhen
væri	svg3eþ
fylgjandi	lhenof
eða	c
andvígt	lhensf
fjölmiðlafrumvarpi	nheþ
ríkisstjórnarinnar	nveeg
.	.

4	ta
af	aþ
hverjum	fokfþ
5	ta
eru	sfg3fn
andvígir	lkfnsf
en	c
fimmtungur	nken
er	sfg3en
fylgjandi	lkenof
frumvarpinu	nheþg
.	.

Ívíð	aa
fleiri	lvfnvm
konur	nvfn
eru	sfg3fn
andvígar	lvfnsf
frumvarpinu	nheþg
en	c
karlar	nkfn
en	c
ekki	aa
er	sfg3en
munur	nken
eftir	aþ
búsetu	nveþ
.	.

Þá	aa
var	sfg3eþ
spurt	sþghen
hvort	c
forseti	nken
Íslands	nhee-s
hefði	svg3eþ
vald	nheo
til	ae
að	cn
staðfesta	sng
ekki	aa
lög	nhfo
og	c
skjóta	sng
þeim	fphfþ
þannig	aa
til	ae
þjóðarinnar	nveeg
.	.

Tæp	lhfnsf
87%	tp
telja	sfg3fn
forsetann	nkeog
hafa	sng
valdið	nheog
.	.

Hvorki	c
er	sfg3en
munur	nken
eftir	aþ
kyni	nheþ
ná	x
búsetu	nveþ
.	.

Loks	aa
var	sfg3eþ
spurt	sþghen
hvort	c
forsetinn	nkeng
ætti	svg3eþ
að	cn
neita	sng
að	cn
undirrita	sng
fjölmiðlalög	nhfo
ríkisstjórnarinnar	nveeg
og	c
skjóta	sng
þeim	fphfþ
til	ae
þjóðarinnar	nveeg
.	.

71%	tp
telur	sfg3en
hann	fpkeo
eiga	sng
að	cn
gera	sng
það	fpheo
en	c
29%	tp
eru	sfg3fn
á	aþ
öðru	foheþ
máli	nheþ
.	.

Heldur	aam
fleiri	lvfnvm
konur	nvfn
en	c
karlar	nkfn
telja	sfg3fn
að	c
forsetinn	nkeng
ætti	svg3eþ
ekki	aa
að	cn
undirrita	sng
lögin	nhfog
en	c
ekki	aa
er	sfg3en
marktækur	lkensf
munur	nken
á	aþ
skoðunum	nvfþ
eftir	aþ
búsetu	nveþ
,	,
samkvæmt	aþ
Fréttablaðinu	nheþgs
.	.

Séu	svg3fn
niðurstöður	nvfn
könnunarinnar	nveeg
bornar	sþgvfn
saman	aa
við	ao
könnun	nveo
Gallup	e
fyrir	ao
Norðurljós	nhfo-s
sem	ct
gerð	sþgven
var	sfg3eþ
á	aþ
nokkurra	fokfe
daga	nkfe
tímabili	nheþ
um	ao
síðustu	lhfove
mánaðamót	nhfo
,	,
virðist	sfm3en
andstaða	nven
við	ao
fjölmiðlafrumvarpið	nheog
fara	sng
vaxandi	slg
en	c
þá	aa
voru	sfg3fþ
2	ta
af	aþ
hverjum	fokfþ
3	ta
andvígir	lkfnsf
frumvarpinu	nheþg
.	.

Í	aþ
könnun	nveþ
Fréttablaðsins	nheegs
var	sfg3eþ
hringt	sþghen
í	ao
800	ta
manns	nkee
en	c
ekki	aa
kemur	sfg3en
fram	aa
hversu	aa
hátt	lhensf
hlutfall	nhen
svaraði	sfg3eþ
.	.

Skorað	sþghen
á	ao
þingmenn	nkfo
að	cn
skoða	sng
hug	nkeo
sinn	fekeo

Bæjarstjórn	nven
Ísafjarðar	nkee-s
samþykkti	sfg3eþ
á	aþ
fundi	nkeþ
sínum	fekeþ
á	ao
miðvikudag	nkeo
tillögu	nveo
Lárusar	nkee-s
G.	as
Valdimarssonar	nkee-s
,	,
Samfylkingu	nveþ-s
um	ao
að	cn
skora	sng
á	ao
þingmenn	nkfo
Norðvesturkjördæmis	nhee-s
að	cn
skoða	sng
vel	aa
hug	nkeo
sinn	fekeo
við	ao
afgreiðslu	nveo
fjölmiðlafrumvarps	nhee
forsætisráðherra	nkee
.	.

Bæjarstjórn	nven
Ísafjarðarbæjar	nkee-s
harmar	sfg3en
þau	fahfo
vinnubrögð	nhfo
sem	ct
viðhöfð	sþghfn
hafi	svg3fn
verið	ssg
af	aþ
hálfu	nveþ
meirihluta	nkee
Alþingis	nhee-s
í	aþ
tengslum	nhfþ
við	ao
þinglega	lveosf
meðferð	nveo
fjölmiðlafrumvarpsins	nheeg
.	.

Þau	fahfn
vinnubrögð	nhfn
séu	svg3fn
vart	aa
til	ae
þess	fphee
fallin	sþghfn
að	cn
auka	sng
virðingu	nveo
almennings	nkee
fyrir	aþ
hinu	gheþ
háa	lheþvf
Alþingi	nheþ-s
.	.

Við	ao
lagasetningu	nveo
sem	ct
varði	svg3en
grundvallaratriði	nhfo
lýðræðisins	nheeg
sé	svg3en
æskilegt	lhensf
að	c
um	ao
hana	fpveo
náist	svm3en
þverpólitísk	lvensf
sátt	nven
.	.

Tillagan	nveng
var	sfg3eþ
samþykkt	sþgven
með	aþ
7	ta
atkvæðum	nhfþ
gegn	aþ
einu	tfheþ
.	.

Einn	tfken
bæjarfulltrúi	nken
Sjálfstæðisflokks	nkee-s
var	sfg3eþ
á	aa
móti	aa
og	c
annar	foken
sat	sfg3eþ
hjá	aa
við	ao
afgreiðsluna	nveog
.	.

Heilbrigðisþjónustan	nveng

Jón	nken-s
Kristjánsson	nken-s
,	,
heilbrigðisráðherra	nken
segir	sfg3en
rangar	lvfosf
upplýsingar	nvfo
koma	sng
fram	aa
í	aþ
nýrri	lveþsf
skýrslu	nveþ
kanadísku	lveevf
Fraser-stofnunarinnar	nveegs
.	.

Í	aþ
skýrslunni	nveþg
er	sfg3en
m.a.	as
fullyrt	sþghen
að	c
hér	aa
á	aþ
landi	nheþ
sé	svg3en
aðgangur	nken
að	aþ
sérfræðingum	nkfþ
og	c
hátæknibúnaði	nkeþ
takmarkaður	lkensf
og	c
að	c
Íslendingar	nkfn-s
þurfi	svg3fn
að	cn
verja	sng
lengstum	lkeþse
tíma	nkeþ
á	aþ
biðlistum	nkfþ
þrátt	aa
fyrir	ao
að	c
hér	aa
sé	svg3en
rekið	sþghen
dýrasta	lhenve
heilbrigðiskerfi	nhen
í	aþ
heimi	nkeþ
.	.

Jón	nken-s
Kristjánsson	nken-s
,	,
heilbrigðisráðherra	nken
segir	sfg3en
þetta	faheo
rangt	lheosf
.	.

Jón	nken-s
Kristjánsson	nken-s
,	,
heilbrigðisráðherra	nken
(	(
B	x
)	)
:	:
«	«
Samkvæmt	aþ
tölum	nvfþ
OECD	as
sem	ct
að	c
eru	sfg3fn
viðurkenndar	sþgvfn
þá	aa
erum	sfg1fn
við	fp1fn
í	aþ
7.	ta
sæti	nheþ
þegar	c
að	c
heildarútgjöld	nhfn
til	ae
heilbrigðismála	nhfe
eru	sfg3fn
skoðuð	sþghfn
,	,
bæði	c
opinber	lhfnsf
útgjöld	nhfn
og	c
útgjöld	nhfn
notenda	nkfe
.	.

Ef	c
að	c
einungis	aa
opinberu	lhfnvf
útgjöldin	nhfng
eru	sfg3fn
tekin	sþghfn
þá	aa
erum	sfg1fn
við	fp1fn
í	aþ
2.	ta
sæti	nheþ
.	.

En	c
það	fphen
er	sfg3en
pólitísk	lvensf
ákvörðun	nven
að	c
við	fp1fn
kostað	x
okkar	fp1fe
heilbrigðiskerfi	nheo
af	aþ
skattpeningum	nkfþ
.	.

Langdýrasta	lhenve
heilbrigðiskerfi	nhen
í	aþ
heimi	nkeþ
er	sfg3en
heilbrigðiskerfi	nhen
Bandaríkjanna	nhfegs
þar	aa
sem	c
er	sfg3en
kostað	sþghen
mjög	aa
stórum	lkeþsf
hluta	nkeþ
af	aþ
notendum	nkfþ
.	.

Þannig	aa
að	c
þessar	favfn
fullyrðingar	nvfn
sem	ct
að	c
þarna	aa
koma	sfg3fn
fram	aa
eru	sfg3fn
rangar	lvfnsf
.	.
»	»

Jón	nken-s
segir	sfg3en
það	fpheo
líka	aa
rangt	lheosf
að	c
aðgengi	nhen
hér	aa
á	aþ
landi	nheþ
sé	svg3en
verra	lhenvm
en	c
annars	fokee
staðar	nkee
.	.

Það	fphen
hafi	svg3en
batnað	ssg
á	aþ
undanförnum	lhfþsf
árum	nhfþ
og	c
árangur	nken
heilbrigðiskerfisins	nheeg
sé	svg3en
góður	lkensf
í	aþ
alþjóðlegum	lkeþsf
samanburði	nkeþ
m.a.	as
segi	svg3fn
nýjar	lvfnsf
tölur	nvfn
frá	aþ
Alþjóða	lveþof
heilbrigðisstofnunni	nveþg
að	c
ungbarnadauði	nken
hér	aa
sé	svg3en
sá	faken
lægsti	lkenve
í	aþ
heimi	nkeþ
.	.

Einn	tfken
höfunda	nkfe
skýrslunnar	nveeg
segir	sfg3en
m.a.	as
að	c
til	ae
að	cn
leysa	sng
vandamál	nhfo
dýrra	lhfesf
heilbrigðiskerfa	nhfe
þurfi	svg3en
samkeppni	nveo
.	.

Hann	fpken
segir	sfg3en
að	c
fái	svg3en
einkafyrirtæki	nhen
opinbert	lheosf
fé	nheo
til	ae
að	cn
reka	sng
heilbrigðisþjónustu	nveo
fáist	svm3en
meira	lhenvm
fyrir	ao
peningana	nkfog
.	.

Þess	fphee
má	sfg3en
geta	sng
að	c
opinber	lvensf
stefna	nven
Fraser-stofnunarinnar	nveegs
er	sfg3en
að	cn
boða	sng
lækkun	nveo
skatta	nkfe
og	c
markaðslausnir	nvfo
í	aþ
opinberum	lkeþsf
rekstri	nkeþ
.	.

Ólöglegar	lvfnsf
framkvæmdir	nvfn
við	ao
Þingvallavatn	nheo-s

Sigurður	nken-s
Oddsson	nken-s
,	,
þjóðgarðsvörður	nken
á	aþ
Þingvöllum	nkfþ-s
kallaði	sfg3eþ
í	ao
morgun	nkeo
lögreglu	nveo
á	ao
vettvang	nkeo
vegna	ae
framkvæmda	nvfe
við	ao
Þingvallaland	nheo-s
í	aþ
landi	nheþ
Kárastaða	nkfe-s
sem	ct
hann	fpken
telur	sfg3en
vera	sng
ólöglegar	lvfosf
.	.

Þetta	fahen
er	sfg3en
í	ao
annað	lheosf
sinn	nheo
á	aþ
skömmum	lkeþsf
tíma	nkeþ
sem	ct
lögregla	nven
er	sfg3en
kölluð	sþgven
til	aa
vegna	ae
framkvæmda	nvfe
við	ao
vatnið	nheog
.	.

Framkvæmdunum	nvfþg
er	sfg3en
lokið	sþghen
svo	aa
ekki	aa
kom	sfg3eþ
til	ae
þess	fphee
að	c
lögreglan	nveng
þyrfti	svg3eþ
að	cn
stöðva	sng
þær	fpvfo
hins	fakee
vegar	nkee
voru	sfg3fþ
teknar	sþgvfn
skýrslur	nvfn
vegna	ae
málsins	nheeg
.	.

Sigurður	nken-s
Oddsson	nken-s
,	,
þjóðgarðsvörður	nken
segir	sfg3en
að	c
höggvið	sþghen
hafi	svg3en
verið	ssg
í	ao
berg	nheo
við	ao
strandlengjuna	nveog
á	aþ
Kárastaðanesi	nheþ-s
til	ae
að	cn
koma	sng
fyrir	aa
bátaskýli	nheþ
og	c
jafnframt	aa
að	c
lagðir	sþgkfn
hafi	svg3fn
verið	ssg
þrír	tfkfn
grjótgarðar	nkfn
út	aa
í	ao
vatnið	nheog
.	.

Hann	fpken
segir	sfg3en
að	c
staðurinn	nkeng
sé	svg3en
reyndar	aa
fyrir	ao
utan	aa
sjálfan	fbkeo
þjóðgarðinn	nkeog
en	c
svæðið	nheng
sé	svg3en
samt	aa
sem	c
áður	aa
á	ao
ábyrgð	nveo
þingvallanefndar	nvee
.	.

Hann	fpken
segir	sfg3en
að	c
um	ao
kolólöglegar	lvfosf
framkvæmdir	nvfo
sé	svg3en
að	cn
ræða	sng
og	c
að	c
væntanlega	aa
verði	svg3en
þess	fphee
krafist	sþmhen
að	c
ströndin	nveng
verði	svg3en
færð	sþgven
í	ao
fyrra	lheovm
horf	nheo
.	.

Sigurður	nken-s
Oddsson	nken-s
,	,
þjóðgarðsvörður	nken
á	aþ
Þingvöllum	nkfþ-s
:	:
«	«
Já	au
þetta	fahen
eru	sfg3fn
kolólöglegar	lvfnsf
framkvæmdir	nvfn
.	.

Í	aþ
fyrsta	lheþve
lagi	nheþ
þá	aa
er	sfg3en
þetta	fahen
ekki	aa
inni	aa
á	aþ
landi	nheþ
sumarbústaðaeigenda	nkfe
því	fpheþ
að	c
landið	nheng
meðfram	aþ
vatninu	nheþg
tilheyrir	sfg3en
ekki	aa
bústöðunum	nkfþg
þó	aa
þeir	fpkfn
standi	svg3fn
við	ao
vatnið	nheog
.	.

Síðan	aa
er	sfg3en
ekki	aa
neitt	fohen
leyfi	nhen
fyrir	aþ
þessu	faheþ
frá	aa
,	,
það	fphen
hefur	sfg3en
ekki	aa
verið	ssg
sótt	sþghen
um	ao
leyfi	nheo
fyrir	aþ
einu	foheþ
eða	c
neinu	foheþ
hérna	aa
,	,
hvorki	c
til	ae
byggingaryfirvalda	nhfe
eða	c
til	ae
Þingvallanefndar	nvee-s
enda	c
ekki	aa
forsendur	nvfn
fyrir	aþ
því	fpheþ
því	fpheþ
það	fphen
er	sfg3en
engin	foven
landheimild	nven
til	aa
.	.
»	»

Arnar	nken-s
Páll	nken-s
Hauksson	nken-s
:	:
«	«
En	c
hvað	fshen
verður	sfg3en
gert	sþghen
núna	aa
?	?
»	»

Sigurður	nken-s
Oddsson	nken-s
:	:
«	«
Það	fphen
verður	sfg3en
gengið	sþghen
í	ao
málið	nheog
.	.

Ég	fp1en
mun	sfg1en
ræða	sng
þetta	faheo
við	ao
Þingvallanefnd	nveo-s
þannig	aa
að	c
það	fphen
er	sfg3en
ljóst	lhensf
að	c
það	fphen
verður	sfg3en
tekið	sþghen
á	aþ
þessu	faheþ
máli	nheþ
.	.
»	»

Forsetaframboð	nhen

Framboðsfrestur	nken
vegna	ae
forsetakosninganna	nvfeg
26.	ta
júní	nkeo
rennur	sfg3en
út	aa
á	aþ
miðnætti	nheþ
.	.

Dómsmálaráðuneyti	nhen
úrskurðar	sfg3en
væntanlega	aa
á	ao
morgun	nkeo
hvaða	fshfn
framboð	nhfn
teljast	sfm3fn
gild	lhfnsf
.	.

Þrír	tfkfn
hafa	sfg3fn
tilkynnt	ssg
um	ao
að	c
þeir	fpkfn
gefi	svg3fn
kost	nkeo
á	aþ
sér	fpkfþ
til	ae
embættis	nhee
forseta	nkee
.	.

Ólafur	nken-s
Ragnar	nken-s
Grímsson	nken-s
,	,
forseti	nken
Íslands	nhee-s
,	,
Baldur	nken-s
Ágústsson	nken-s
,	,
stofnandi	nken
öryggisþjónustunnar	nveeg
Vara	nkee-s
og	c
Ástþór	nken-s
Magnússon	nken-s
,	,
stofnandi	nken
Friðar	nkee-s
2000	ta
.	.

En	c
hvaða	fshfþ
gögnum	nhfþ
þurfa	sfg3fn
frambjóðendur	nkfn
að	cn
vera	sng
búnir	lkfnsf
að	cn
afla	sng
og	c
skila	sng
inn	aa
til	ae
dómsmálaráðuneytisins	nheeg
áður	aa
en	c
framboðsrennur	x
út	aa
á	aþ
miðnætti	nheþ
.	.

Anna	nven-s
Sigríður	nven-s
Arnardóttir	nven-s
,	,
lögfræðingur	nken
í	aþ
dómsmálaráðuneytinu	nheþg
:	:
«	«
Þeir	fpkfn
skila	sfg3fn
inn	aa
vottorðum	nhfþ
yfirkjörstjórna	nvfe
um	ao
kosningabærni	nheo
meðmælenda	nkfe
sinna	fekfe
.	.

Þeir	fpkfn
skila	sfg3fn
inn	aa
yfirlýsingu	nveþ
eða	c
samþykki	nheþ
forsetaefnis	nhee
um	ao
að	c
þeir	fpkfn
vilji	svg3fn
vera	sng
í	aþ
kjöri	nheþ
og	c
meðmælendalistum	nkfþ
og	c
hugsanlega	aa
hverjir	fskfn
eru	sfg3fn
umboðsmenn	nkfn
framboðanna	nhfeg
sinn	x
.	.
»	»

Segir	sfg3en
Anna	nven-s
Sigríður	nven-s
Arnardóttir	nven-s
,	,
lögfræðingur	nken
í	aþ
dómsmálaráðuneytinu	nheþg
.	.

Hún	fpven
segir	sfg3en
að	c
ráðuneytið	nheng
taki	svg3en
á	aa
móti	aþ
framboðum	nhfþ
allt	fohen
fram	aa
til	ae
miðnættis	nhee
.	.

En	c
hvenær	aa
verður	sfg3en
fundur	nken
í	aþ
ráðuneytinu	nheþg
til	ae
að	cn
ganga	sng
úr	aþ
skugga	nkeþ
um	ao
að	c
öll	fohfn
framboðin	nhfng
séu	svg3fn
gild	lhfnsf
og	c
lögleg	lhfnsf
?	?

Anna	nven-s
Sigríður	nven-s
Arnardóttir	nven-s
:	:
«	«
Það	fphen
er	sfg3en
gert	sþghen
ráð	nhen
fyrir	aþ
að	c
það	fphen
verði	svg3en
haldinn	sþgken
fundur	nken
í	aþ
ráðuneytinu	nheþg
á	ao
morgun	nkeo
með	aþ
umboðsmönnum	nkfþ
framboða	nhfe
og	c
þar	aa
vænti	sfg1en
ég	fp1en
að	c
verði	svg3en
farið	sþghen
yfir	ao
framkomin	lhfosf
framboð	nhfo
og	c
úrskurði	svg3en
hverjir	fskfn
verði	svg3fn
í	aþ
kjöri	nheþ
.	.
»	»

Helgi	nken-s
óskar	sfg3en
upplýsinga	nvfe

Fundur	nken
umboðsmanns	nkee
Alþingis	nhee-s
með	aþ
forseta	nkeþ
og	c
varaforseta	nkeþ
Alþingis	nhee-s
,	,
þar	aa
sem	c
forsætisráðherra	nken
var	sfg3eþ
viðstaddur	lkensf
,	,
er	sfg3en
trúnaðarmál	nhen
.	.

Fundurinn	nkeng
var	sfg3eþ
haldinn	sþgken
að	aþ
frumkvæði	nheþ
umboðsmanns	nkee
sem	ct
ætlar	sfg3en
að	cn
setja	sng
reglur	nvfo
um	ao
samskipti	nhfo
sín	fehfo
við	ao
stjórnvöld	nhfo
.	.

Tilefnið	nheng
er	sfg3en
símtal	nhen
sem	ct
forsætisráðherra	nken
átti	sfg3eþ
við	ao
hann	fpkeo
4.	ta
maí	nkeo
.	.

Helgi	nken-s
Hjörvar	nken-s
,	,
Samfylkingu	nveþ-s
fer	sfg3en
fram	aa
á	ao
að	c
forsætisráðherra	nken
svari	svg3en
því	fpheþ
úr	aþ
ræðustóli	nkeþ
Alþingis	nhee-s
hvort	c
hann	fpken
hafi	svg3en
veitt	ssg
umboðsmanni	nkeþ
tiltal	nheo
eða	c
ekki	aa
.	.

Símtalið	nheng
var	sfg3eþ
sama	fbkeo
dag	nkeo
og	c
álit	nhen
umboðsmanns	nkee
varð	sfg3eþ
opinbert	lhensf
.	.

Halldór	nken-s
Blöndal	nken-s
,	,
forseti	nken
þingsins	nheeg
,	,
og	c
Guðmundur	nken-s
Árni	nken-s
Stefánsson	nken-s
,	,
fyrsti	lkenve
varaforseti	nken
,	,
hittu	sfg3fþ
forsætisráðherra	nkeo
og	c
umboðsmann	nkeo
í	ao
morgun	nkeo
á	aþ
fundi	nkeþ
.	.

Í	aþ
frétt	nveþ
Alþingis	nhee-s
segir	sfg3en
að	c
tilefnið	nheng
sé	svg3en
símtal	nhen
,	,
sem	ct
vikið	sþghen
hafi	svg3en
verið	ssg
að	aa
á	aþ
opinberum	lkeþsf
vettvangi	nkeþ
.	.

Og	c
það	fphen
var	sfg3eþ
fyrst	aae
frétt	nven
í	aþ
DV	as
um	ao
samskipti	nhfo
forsætisráðherra	nkee
og	c
umboðsmanns	nkee
höfð	sþgven
eftir	aþ
trúnaðarmönnum	nkfþ
þess	fakee
síðarnefnda	lkeevf
.	.

En	c
Helgi	nken-s
Hjörvar	nken-s
,	,
Samfylkingu	nveþ-s
tók	sfg3eþ
málið	nheog
upp	aa
í	aþ
þinginu	nheþg
sama	fbkeo
dag	nkeo
.	.

Enginn	foken
þeirra	fpkfe
fjögurra	tfkfe
sem	ct
hittust	sfm3fþ
í	ao
morgun	nkeo
veittu	sfg3fþ
viðtal	nheo
eða	c
tjáðu	sfg3fþ
sig	fpkfo
umfram	ao
það	faheo
sem	ct
frá	aa
greinir	sfg3en
í	aþ
frétt	nveþ
þingsins	nheeg
.	.

Fundurinn	nkeng
er	sfg3en
trúnaðarmál	nhen
þeirra	fakfe
sem	ct
hann	fpkeo
sátu	sfg3fþ
.	.

Guðmundur	nken-s
Árni	nken-s
Stefánsson	nken-s
,	,
fyrsti	lkenve
varaforseti	nken
þingsins	nheeg
,	,
segist	sfm3en
sáttur	lkensf
og	c
niðurstaðan	nveng
sé	svg3en
góð	lvensf
.	.

Einar	nken-s
K.	as
Guðfinnsson	nken-s
,	,
þingflokksformaður	nken
