Verslóritgerðir	nvfn-s
helming	nkeo
þeirra	fphfe
,	,
árin	nhfog
1997	ta
til	aa
2001	ta
annars	fokee
vegar	nkee
og	c
2002	ta
til	aa
2006	ta
hins	fakee
vegar	nkee
.	.

Aðeins	aa
örfáir	lkfnsf
punktar	nkfn
falla	sfg3fn
utan	ae
beinu	lveevf
línunnar	nveeg
og	c
myndin	nveng
gefur	sfg3en
ekki	aa
tilefni	nheo
til	ae
að	cn
ætla	sng
að	c
dreifing	nven
ávöxtunar	nvee
sé	svg3en
ólík	lvensf
milli	ae
tímabila	nhfe
.	.

Tafla	nven
4.3	ta
sýnir	sfg3en
sjálffylgnifall	nheo
ávöxtunar	nvee
,	,
fyrstu	lhfove
fimm	tfhfo
gildi	nhfo
.	.

Fyrstu	lveeve
gráðu	nvee
sjálffylgnin	nveng
mælist	sfm3en
hæst	lvense
og	c
sjálffylgnin	nveng
fer	sfg3en
svo	aa
lækkandi	slg
en	c
þó	aa
mælist	sfm3en
annarar	x
gráðu	nvee
sjálffylgni	nven
marktæk	lvensf
ef	c
miðað	sþghen
er	sfg3en
við	ao
þrjú	tfhfo
staðalfrávik	nhfo
.	.

Sjálffylgni	nven
mælist	sfm3en
hærri	lvenvm
yfir	ao
seinna	lheovm
tímabilið	nheog
.	.

Úrvalsvísitala	nven-s
-	-
dagleg	lvensf
ávöxtun	nven
-	-
1997-2006	ta

Tafla	nven
4.3	ta

Það	fphen
er	sfg3en
nokkuð	fohen
algengt	lhensf
að	c
sjálffylgni	nven
finnist	svm3en
í	aþ
ávöxtunargögnum	nhfþ
.	.

Sjálffylgnin	nveng
veldur	sfg3en
því	fpheþ
að	c
ávöxtun	nven
er	sfg3en
upp	aa
að	aþ
vissu	lheþsf
marki	nheþ
fyrirsjáanleg	lvensf
og	c
ávöxtunarferlið	nheng
er	sfg3en
ekki	aa
hvítt	lhensf
suð	nhen
.	.

Ýmsir	fokfn
þættir	nkfn
geta	sfg3fn
valdið	ssg
sjálffylgni	nveþ
í	aþ
fjármálatímaröðum	nvfþ
og	c
oft	aa
er	sfg3en
reynt	sþghen
að	cn
taka	sng
tillit	nheo
til	ae
þeirra	fpkfe
þegar	c
unnið	sþghen
er	sfg3en
með	ao
eignaverðslíkön	nhfo
.	.

Þegar	c
um	ao
er	sfg3en
að	cn
ræða	sng
sjálffylgni	nveo
í	aþ
ávöxtun	nveþ
hlutabréfavísitölu	nvee
en	c
ekki	aa
hlutabréfum	nhfþ
eins	tfhee
fyrirtækis	nhee
þá	aa
getur	sfg3en
ástæðan	nveng
m.a.	as
einfaldlega	aa
verið	ssg
sú	faven
að	c
viðskipti	nhfn
með	ao
bréf	nhfo
félaganna	nhfeg
í	aþ
vísitölunni	nveþg
verða	sfg3fn
ekki	aa
með	aþ
samstilltum	lkeþsf
hætti	nkeþ
(	(
e.	as
non-synchronous	e
trading	e
)	)
.	.

Hlutabréf	nhfn
eins	tfhee
félags	nhee
skipta	sfg3fn
um	ao
hendur	nvfo
oftar	aam
en	c
hlutabréf	nhfn
annars	aa
en	c
verðmæling	nven
fyrir	ao
vísitöluna	nveog
fer	sfg3en
þó	aa
alltaf	aa
fram	aa
með	aþ
jöfnu	lheþsf
millibili	nheþ
.	.

Til	ae
dæmis	nhee
gæti	svg3eþ
frétt	nven
birtst	ssm
seinni	lkeovm
part	nkeo
dags	nkee
sem	ct
hefur	sfg3en
almennt	aa
áhrif	nhfo
til	ae
hækkunar	nvee
á	aþ
hlutabréfum	nhfþ
.	.

Segjum	svg1fn
sem	ct
svo	aa
að	c
viðskipti	nhfn
verði	svg3fn
með	ao
bréf	nhfo
helmings	nkee
félaganna	nhfeg
fyrir	ao
lokun	nveo
þann	fakeo
daginn	nkeog
en	c
hinn	faken
helmingurinn	nkeng
bætist	svm3en
svo	aa
við	aa
daginn	nkeog
eftir	aa
.	.

Viðskiptin	nhfng
sem	ct
fara	sfg3fn
fram	aa
uppfæra	sfg3fn
verð	nheo
bréfanna	nhfeg
með	aþ
hliðsjón	nveþ
af	aþ
fréttinni	nveþg
.	.

Þannig	aa
kemur	sfg3en
hækkunin	nveng
fram	aa
í	aþ
tveim	tfhfþ
skrefum	nhfþ
þó	aa
fréttin	nveng
sé	svg3en
birt	sþgven
öllum	fokfþ
á	aþ
sama	fbkeþ
tímapunkti	nkeþ
og	c
þessar	favfn
tvær	tfvfn
hækkanir	nvfn
í	aþ
röð	nveþ
gefa	sfg3fn
merki	nheo
um	ao
sjálffylgni	nveo
.	.

Verðmæti	nhen
eigna	nvfe
á	aþ
markaði	nkeþ
breytist	sfm3en
stöðugt	aa
þegar	c
nýjar	lvfnsf
fréttir	nvfn
berast	sfm3fn
fjárfestum	nkfþ
en	c
það	fahen
verð	nhen
eignar	nvee
sem	ct
notað	sþghen
er	sfg3en
við	ao
útreikning	nkeo
vísitölu	nvee
er	sfg3en
síðasta	lhenve
skráða	lhenvf
verð	nhen
hennar	fpvee
í	aþ
viðskiptum	nhfþ
.	.

Það	fphen
að	c
verðbreytingar	nvfn
og	c
viðskipti	nhfn
verða	sfg3fn
ekki	aa
með	aþ
samstilltum	lkeþsf
hætti	nkeþ
og	c
viðskipti	nhfn
með	ao
bréf	nhfo
ólíkra	lhfesf
félaga	nhfe
eru	sfg3fn
mis	aa
tíð	lhfnsf
getur	sfg3en
valdið	ssg
mælanlegri	lveþsf
sjálffylgni	nveþ
í	aþ
ávöxtun	nveþ
hlutabréfavísitölu	nvee
.	.

Sjálffylgni	nven
Úrvalsvísitölunnar	nveegs

Mynd	nven
4.5	ta
-	-
Sjálffylgni	nven
Úrvalsvísitölunnar	nveegs

Til	ae
að	cn
kanna	sng
hvort	c
merki	nhen
um	ao
ARCH	e
áhrif	nhfo
finnist	svm3en
í	aþ
gögnunum	nhfþg
var	sfg3eþ
aðferðin	nveng
sem	ct
lýst	sþghen
var	sfg3eþ
í	aþ
kafla	nkeþ
3.2	ta
útfærð	sþgven
og	c
niðurstöður	nvfn
teknar	sþgvfn
út	aa
fyrir	ao
sömu	fbhfo
tvö	tfhfo
tímabil	nhfo
og	c
hér	aa
að	aa
ofan	aa
,	,
þ.e.	as
fyrir	ao
daglega	lveosf
ávöxtun	nveo
frá	aþ
1997	ta
til	aa
2001	ta
og	c
frá	aþ
2002	ta
til	aa
2006	ta
.	.

Niðurstöðurnar	nvfog
fyrir	ao
p	x
=	=
1,...,5	ta
má	sfg3en
sjá	sng
í	aþ
töflu	nveþ
4.3.	ta

Taflan	nveng
sýnir	sfg3en
prófstærðina	nveog
TR2	x
,	,
sem	ct
sett	sþgven
var	sfg3eþ
fram	aa
í	aþ
jöfnu	nveþ
20	ta
,	,
þar	aa
sem	c
T	nhen
er	sfg3en
fjöldi	nken
mælinga	nvfe
og	c
R2	x
eru	sfg3fn
mátgæði	nhfn
aðhvarfslíkansins	nheeg
.	.

Úrvalsvísitala	nven-s
-	-
Mat	nhen
á	aþ
ARCH	e
áhrifum	nhfþ
1997-2001	ta
og	c
2002-2006	ta

Tafla	nven
4.4	ta

Núlltilgátunni	nveþg
um	ao
að	c
dreifni	nven
ávöxtunar	nvee
sé	svg3en
einsleit	lvensf
(	(
e.	as
homoscedastic	e
)	)
er	sfg3en
hafnað	sþghen
með	aþ
afgerandi	lkeþof
hætti	nkeþ
fyrir	ao
öll	fohfo
gildi	nhfo
p	nhee
sem	ct
prófuð	sþghfn
voru	sfg3fþ
og	c
fyrir	ao
bæði	fohfo
tímabilin	nhfog
.	.

5	ta
Niðurstöður	nvfn

Þær	favfn
hugmyndir	nvfn
og	c
kenningar	nvfn
sem	ct
hefur	sfg3en
verið	ssg
fjallað	sþghen
um	aa
í	aþ
þessari	faveþ
ritgerð	nveþ
voru	sfg3fþ
útfærðar	sþgvfn
og	c
prófaðar	sþgvfn
.	.

Athyglinni	nveþg
var	sfg3eþ
beint	sþghen
að	aþ
Íslandi	nheþ-s
.	.

Í	aþ
fyrsta	lheþve
lagi	nheþ
var	sfg3eþ
ætlunin	nveng
að	cn
kanna	sng
verðlagningu	nveo
áhættu	nvee
á	aþ
íslenskum	lkeþsf
hlutabréfamarkaði	nkeþ
með	aþ
því	fpheþ
að	cn
meta	sng
Sharpe	e
hlutfall	nheo
fyrir	ao
úrvalsvísitöluna	nveog
.	.

Tekin	sþghfn
voru	sfg3fþ
sérstaklega	aa
út	aa
tímabil	nhfn
sem	ct
einkenndust	sfm3fþ
af	aþ
hækkunum	nvfþ
,	,
eins	aa
og	c
frá	aþ
miðju	lheþsf
ári	nheþ
2003	ta
til	aa
feb-mars	nkee
2006	ta
,	,
eða	c
lækkunum	nvfþ
,	,
t.d.	as
frá	aþ
byrjun	nveþ
ársins	nheeg
2000	ta
fram	aa
til	ae
2002	ta
.	.

Því	fpheþ
næst	aþe
voru	sfg3fþ
teknar	sþgvfn
saman	aa
niðurstöður	nvfn
mats	nhee
á	aþ
áræðanleika	nkeþ
tveggja	tfvfe
hámörkunaraðferða	nvfe
fyrir	ao
ARCH	e
(	(
1	ta
)	)
líkanið	nheng
.	.

Að	aþ
lokum	nhfþ
var	sfg3eþ
mat	nhen
á	aþ
stikum	nkfþ
ARCH-M	e
líkans	nhee
sett	sþghen
fram	aa
fyrir	ao
gögn	nhfo
um	ao
verðbreytingar	nvfo
Úrvalsvísitölunnar	nveegs
og	c
út	aa
frá	aþ
því	fpheþ
dregnar	sþgvfn
ályktanir	nvfn
um	ao
tengsl	nhfo
ávöxtunar	nvee
og	c
áhættu	nvee
á	aþ
íslenskum	lkeþsf
hlutabréfamarkaði	nkeþ
.	.

5.1	ta
Sharpe	e
hlutfall	nhen
Tafla	nven
5.1	ta
sýnir	sfg3en
meðalávöxtun	nveo
á	ao
dag	nkeo
,	,
staðalfrávik	nheo
hennar	fpvee
og	c
Sharpe	e
hlutfall	nheo
ávöxtunar	nvee
úrvalsvísitölunnar	nveeg
fyrir	ao
árin	nhfog
2000	ta
til	aa
2005	ta
.	.

Yfir	ao
árin	nhfog
2000	ta
og	c
2001	ta
lækkaði	sfg3eþ
úrvalsvísitalan	nveng
og	c
olli	sfg3eþ
lækkunin	nveng
þá	aa
neikvæðu	lheþsf
Sharpe	e
hlutfalli	nheþ
.	.

Hlutfallið	nheng
hækkaði	sfg3eþ
svo	aa
og	c
stóð	sfg3eþ
í	aþ
0,28	ta
fyrir	ao
árið	nheog
2005	ta
.	.

Neikvætt	lheosf
Sharpe	e
hlufall	nheo
er	sfg3en
ekki	aa
hægt	lhensf
að	cn
túlka	sng
sem	c
merki	nheo
um	ao
að	c
fjárfestar	nkfn
vilji	svg3fn
meiri	lveovm
óvissu	nveo
um	ao
ávöxtun	nveo
frekar	aam
en	c
minni	lveovm
,	,
og	c
teljist	svm3fn
því	aa
áhættusæknir	lkfnsf
.	.

Hér	aa
er	sfg3en
um	ao
að	cn
ræða	sng
Ex	e
post	e
mælingu	nveo
en	c
slíkar	fbvfn
mælingar	nvfn
eru	sfg3fn
gjarnan	aa
notaðar	sþgvfn
til	ae
að	cn
bera	sng
saman	aa
árangur	nkeo
markaða	nkfe
eða	c
sjóða	nkfe
og	c
sú	faven
er	sfg3en
í	aþ
raun	nveþ
algengasta	lvenve
notkun	nven
Sharpe	e
hlutfallsins	nheeg
.	.

Líklegra	lhenvm
er	sfg3en
að	c
væntingar	nvfn
fjárfesta	nkfe
um	ao
ávöxtun	nveo
á	aþ
markaði	nkeþ
hafi	svg3fn
einfaldlega	aa
ekki	aa
orðið	ssg
að	aþ
veruleika	nkeþ
.	.

Tafla	nven
5.1	ta

Til	ae
að	cn
kanna	sng
Sharpe	e
hlutfall	nheo
á	aþ
tímum	nkfþ
sem	ct
einkenndust	sfm3fþ
af	aþ
verðhækkunum	nvfþ
var	sfg3eþ
tekið	sþghen
út	aa
tímabilið	nheng
frá	aþ
byrjun	nveþ
júní	nkee
2003	ta
til	ae
febrúarloka	nhfe
2006	ta
.	.

Sharpe	e
hlutfall	nhen
þessa	fahee
tímabils	nhee
mældist	sfm3eþ
0,25	ta
með	ao
staðalskekkju	nveo
0,04	ta
,	,
að	aþ
gefinni	lveþsf
þeirri	faveþ
forsendu	nveþ
að	c
ávöxtun	nven
væri	svg3eþ
IID	x
ferli	nhen
.	.

Þegar	c
staðalskekkja	nven
var	sfg3eþ
leiðrétt	sþgven
með	aþ
tilliti	nheþ
til	ae
samdreifni	nvee
breytist	sfm3en
hún	fpven
lítillega	aa
en	c
mældist	sfm3eþ
enn	aa
um	aa
0,04	ta
.	.

Fyrir	ao
tímabilið	nheog
frá	aþ
ársbyrjun	nveþ
2000	ta
til	ae
ársloka	nhfe
2001	ta
mældist	sfm3eþ
Sharpe	e
hlutfallið	nheng
-	-
0,06	ta
og	c
staðalskekkja	nven
0,05	ta
.	.

Mynd	nven
5.1	ta
sýnir	sfg3en
mánaðarlega	lveosf
og	c
árlega	lveosf
þróun	nveo
Sharpe	e
hlutfallsins	nheeg
fyrir	ao
íslensku	lveovf
Úrvalsvísitöluna	nveogs
frá	aþ
byrjun	nveþ
ársins	nheeg
2000	ta
til	ae
ársloka	nhfe
2005	ta
.	.

Sharpe	e
hlufallið	nheng
mældist	sfm3eþ
nálægt	aþ
núlli	nheþ
fyrstu	lhfove
tvö	tfhfo
árin	nhfog
sem	ct
voru	sfg3fþ
skoðuð	sþghfn
en	c
hækkaði	sfg3eþ
svo	aa
og	c
seinni	lhfovm
fjögur	tfhfo
árin	nhfog
mældist	sfm3eþ
það	fphen
jákvætt	lhensf
.	.

Eftir	aþ
því	faheþ
sem	ct
leið	sfg3eþ
á	ao
tímabilið	nheog
fengu	sfg3fþ
fjárfestar	nkfn
því	aa
meira	aam
greitt	sþghen
fyrir	ao
að	cn
taka	sng
þá	faveo
áhættu	nveo
að	cn
fjárfesta	sng
á	aþ
þessum	fakeþ
markaði	nkeþ
.	.

Þessi	faven
niðurstaða	nven
segir	sfg3en
ekkert	foheo
til	aa
um	ao
það	fpheo
hvaða	fsvfo
væntingar	nvfo
fjárfestar	nkfn
höfðu	sfg3fþ
til	ae
markaðarins	nkeeg
heldur	c
er	sfg3en
þetta	fahen
mæling	nven
á	aþ
frammistöðu	nveþ
markaðarins	nkeeg
eftir	aa
á	aa
.	.

Mynd	nven
5.1	ta
-	-
Sharpe	e
hlutfall	nhen
,	,
2000-2005	ta

5.2	ta
Hermun	nven
Töluleg	lvensf
hámörkun	nven
sennileikafalls	nhee
flöktlíkana	nhfe
reynist	sfm3en
oft	aa
erfiðleikum	nkfþ
háð	lvensf
og	c
til	ae
að	cn
meta	sng
frammistöðu	nveo
DLR	as
aðferðarinnar	nveeg
,	,
miðað	sþghen
við	ao
hefðbundnari	lveovm
Newton	e
hámörkun	nveo
,	,
46	ta
voru	sfg3fþ
gerðar	sþgvfn
tilraunir	nvfn
á	aþ
hermdum	lhfþsf
gögnum	nhfþ
úr	aþ
ARCH	e
(	(
1	ta
)	)
ferli	nheþ
(	(
þ.e.	as
ferlið	nheng
í	aþ
jöfnum	nvfþ
20a	ta
og	c
20b	ta
með	ao
p	x
=	=
1	ta
)	)
.	.

Valin	sþghfn
voru	sfg3fþ
tvö	tfhfn
ólík	lhfnsf
gildi	nhfn
á	aa
(	(
jafna	nven
)	)
og	c
(	(
jafna	nven
)	)
.	.

Lengd	nven
tímaraðanna	nvfeg
(	(
táknuð	sþgven
með	aþ
T	nheþ
)	)
var	sfg3eþ
annars	fokee
vegar	nkee
250	ta
mælingar	nvfn
og	c
hins	fakee
vegar	nkee
2500	ta
mælingar	nvfn
.	.

Gerðar	sþgvfn
voru	sfg3fþ
100	ta
tilraunir	nvfn
fyrir	ao
hvert	foheo
ferli	nheo
,	,
alls	fohee
fjórar	tfvfn
tilraunir	nvfn
,	,
og	c
skemmst	lhense
er	sfg3en
frá	aþ
því	fpheþ
að	cn
segja	sng
að	c
báðar	fovfn
aðferðirnar	nvfng
fundu	sfg3fþ
lausn	nveo
í	aþ
öllum	fohfþ
tilfellum	nhfþ
.	.

Þegar	c
mælingar	nvfn
voru	sfg3fþ
aðeins	aa
250	ta
mældist	sfm3eþ
stikinn	nkeng
(	(
tákn	nhen
)	)
öðru	foheþ
hverju	foheþ
neikvæður	lkensf
,	,
þ.e.	as
punktmatið	nheng
var	sfg3eþ
utan	ae
gjaldgenga	lheevf
svæðis	nhee
stikans	nkeeg
.	.

Í	aþ
öllum	fohfþ
þeim	fahfþ
tilfellum	nhfþ
skiluðu	sfg3fþ
báðar	fovfn
aðferðirnar	nvfng
slíkri	fbveþ
niðurstöðu	nveþ
en	c
ekki	aa
bara	aa
önnur	foven
þeirra	fpvfe
,	,
þ.e.	as
formerki	nhen
punktmatsins	nheeg
var	sfg3eþ
alltaf	aa
það	fahen
sama	fbhen
.	.

Punktmat	nheo
hermdra	lhfesf
gilda	nhfe
fyrir	ao
T	x
=	=
250	ta
og	c
T	x
=	=
2500	ta
má	sfg3en
sjá	sng
á	aþ
myndum	nvfþ
5.2a	ta
og	c
5.2b	ta
.	.

Mat	nhen
Newton	e
aðferðarinnar	nveeg
er	sfg3en
merkt	sþghen
með	aþ
punkti	nkeþ
en	c
mat	nhen
DLR	as
aðferðarinnar	nveeg
með	aþ
stjörnu	nveþ
.	.

Mynd	nven
5.2a	ta
Mynd	nven
5.2b	ta
Þegar	c
hermdum	lvfþsf
mælingum	nvfþ
var	sfg3eþ
fjölgað	sþghen
upp	aa
í	ao
2500	ta
dreifðist	sfm3eþ
punktmat	nhen
aðferðanna	nvfeg
ekki	aa
jafn	aa
víða	aa
,	,
fór	sfg3eþ
aldrei	aa
niður	aa
fyrir	ao
0,05	ta
,	,
og	c
mesti	lkenve
munur	nken
milli	ae
aðferðanna	nvfeg
tveggja	tfvfe
,	,
þ.e.	as
hlutfallið	nheng
(	(
jafna	nven
)	)
var	sfg3eþ
um	aa
3%	tp
.	.

Á	aþ
myndum	nvfþ
5.3a	ta
og	c
5.3b	ta
má	sfg3en
sjá	sng
hlutfallið	nheog
fyrir	ao
hermd	lhfosf
ARCH	e
ferli	nhfo
með	aa
(	(
jafna	nven
)	)
.	.

Mismunur	nken
á	aþ
mati	nheþ
aðferðanna	nvfeg
er	sfg3en
oft	aa
þó	aa
nokkur	foken
þegar	c
T	x
=	=
250	ta
en	c
minnkar	sfg3en
umtalsvert	aa
þegar	c
T	nheþ
er	sfg3en
aukið	sþghen
.	.

Mynd	nven
5.3a	ta
Mynd	nven
5.3b	ta
Aðferðirnar	nvfng
dugðu	sfg3fþ
báðar	fovfn
vel	aa
til	ae
að	cn
meta	sng
stika	nkfe
ARCH	e
(	(
1	ta
)	)
líkansins	nheeg
og	c
engan	fokeo
kerfisbundinn	lkeosf
mun	nkeo
var	sfg3eþ
að	cn
merkja	sng
en	c
það	fahen
sem	ct
eftir	aa
stendur	sfg3en
er	sfg3en
þá	aa
að	c
DLR	as
aðferðina	nveog
er	sfg3en
umtalsvert	aa
fljótlegra	lhenvm
að	cn
útfæra	sng
.	.

DLR	as
aðferðin	nveng
virtist	sfm3eþ
einnig	aa
mun	nkeþ
hraðvirkari	lvenvm
þó	aa
svo	aa
að	c
formlegt	lhensf
mat	nhen
á	aþ
útreikningstíma	nkeþ
hafi	svg3en
ekki	aa
verið	ssg
gert	sþghen
,	,
enda	c
er	sfg3en
það	fphen
utan	ae
efnistaka	nhfe
þessarar	favee
ritgerðar	nvee
.	.

5.3	ta
Mat	nhen
á	aþ
tengslum	nhfþ
áhættu	nvee
og	c
ávöxtunar	nvee
Til	ae
að	cn
kanna	sng
tengsl	nhfo
ávöxtunar	nvee
og	c
áhættu	nvee
á	aþ
íslenskum	lkeþsf
hlutabréfamarkaði	nkeþ
voru	sfg3fþ
stikar	nkfn
ARCH-M	e
líkans	nhee
metnir	sþgkfn
fyrir	ao
gögn	nhfo
um	ao
breytingar	nvfo
Úrvalsvísitölunnar	nveegs
.	.

Gögnin	nhfng
sem	ct
unnið	sþghen
var	sfg3eþ
með	aa
náðu	sfg3fþ
frá	aþ
ársbyrjun	nveþ
1997	ta
til	ae
ársloka	nhfe
2006	ta
,	,
alls	aa
10	ta
ár	nhfn
,	,
2481	ta
mæling	nven
.	.

Líkanið	nheng
er	sfg3en
sett	sþghen
fram	aa
í	aþ
jöfnum	nvfþ
26a	ta
og	c
26b	ta
og	c
í	aþ
töflu	nveþ
5.2	ta
má	sfg3en
sjá	sng
mat	nheo
á	aþ
stikum	nkfþ
líkansins	nheeg
(	(
og	c
staðalfráviki	nheþ
matsins	nheeg
í	aþ
sviga	nkeþ
)	)
,	,
fyrst	aae
fyrir	ao
allt	foheo
tímabilið	nheog
og	c
svo	aa
fyrir	ao
fyrri	lkeovm
og	c
seinni	lkeovm
helming	nkeo
þess	fphee
.	.

Tafla	nven
5.2	ta
-	-
Mat	nhen
á	aþ
stikum	nkfþ
ARCH-M	e
líkans	nhee
Niðurstöðurnar	nvfng
sem	ct
birtar	sþgvfn
eru	sfg3fn
í	aþ
töflu	nveþ
5.2	ta
gefa	sfg3fn
nokkuð	fohen
tvíræða	lveosf
niðurstöðu	nveo
.	.

Þegar	c
horft	sþghen
er	sfg3en
á	ao
allt	foheo
10	ta
ára	nhfe
tímabilið	nheog
mælist	sfm3en
stikinn	nkeng
(	(
tákn	nhen
)	)
jákvæður	lkensf
sem	ct
merkir	sfg3en
að	c
aukningu	nveþ
í	aþ
flökti	nheþ
ávöxtunar	nvee
fylgir	sfg3en
hærri	lvenvm
ávöxtun	nven
en	c
ella	aa
.	.

Slík	fbven
niðurstaða	nven
er	sfg3en
í	aþ
samræmi	nheþ
við	ao
þær	favfo
kenningar	nvfo
sem	ct
fjallað	sþghen
var	sfg3eþ
um	aa
í	aþ
kafla	nkeþ
2	ta
.	.

En	c
þegar	c
tímabilinu	nheþg
er	sfg3en
skipt	sþghen
í	ao
tvennt	lheosf
og	c
fyrri	lkenvm
og	c
seinni	lkenvm
helmingur	nken
þess	fphee
skoðaður	sþgken
hvor	foken
fyrir	ao
sig	fpkeo
sést	sfm3en
að	c
stikinn	nkeng
var	sfg3eþ
hár	lkensf
yfir	ao
fyrri	lkeovm
helminginn	nkeog
en	c
lækkar	sfg3en
og	c
mælist	sfm3en
neikvæður	lkensf
á	aþ
þeim	fakeþ
síðari	lkeþvm
.	.

Neikvæður	lkensf
stiki	nken
(	(
tákn	nhen
)	)
er	sfg3en
vísbending	nven
um	ao
neikvætt	lheosf
áhættuálag	nheo
sem	ct
má	sfg3en
túlka	sng
sem	c
svo	aa
að	c
fjárfestar	nkfn
krefjist	svm3fn
ekki	aa
jafn	aa
hárrar	lveesf
ávöxtunar	nvee
er	c
óvissa	nven
um	ao
hana	fpveo
eykst	sfm3en
.	.

6	ta
Samantekt	nven

Niðurstöður	nvfn
á	ao
borð	nheo
við	ao
þessa	faveo
,	,
að	c
áhættuálag	nhen
mælist	svm3en
neikvætt	lhensf
,	,
hafa	sfg3fn
verið	ssg
umfjöllunarefni	nhen
margra	lkfesf
því	fpheþ
eins	aa
og	c
fram	aa
hefur	sfg3en
komið	ssg
eru	sfg3fn
þær	fpvfn
í	aþ
mótsögn	nveþ
við	ao
ríkjandi	lvfoof
kenningar	nvfo
.	.

Þær	fpvfn
vekja	sfg3fn
upp	aa
spurningar	nvfo
eins	aa
og	c
þá	faveo
hvort	c
fjárfestar	nkfn
geti	svg3fn
við	ao
einhverjar	fovfo
aðstæður	nvfo
verið	ssg
áhættusæknir	lkfnsf
eða	c
hvort	c
þeir	fpkfn
skilgreini	svg3fn
áhættu	nveo
á	ao
annan	fokeo
og	c
flóknari	lkeovm
hátt	nkeo
.	.

En	c
kenningarnar	nvfng
eru	sfg3fn
rótgrónar	lvfnsf
og	c
ályktun	nven
flestra	lkfese
er	sfg3en
sú	faven
að	c
líkönin	nhfng
séu	svg3fn
rangt	aa
skilgreind	sþghfn
og	c
horfi	svg3fn
fram	aa
hjá	aþ
óútskýrðum	lkfþsf
en	c
mikilvægum	lkfþsf
þáttum	nkfþ
.	.

Spurningunum	nvfþg
er	sfg3en
því	aa
enn	aa
ósvarað	lhensf
.	.

3.	ta
HLUTI	nken

3.1	ta
HEIMSPEKILEG	lhfnsf
VANDAMÁL	nhfn
Nú	aa
þegar	c
sögu	nveþ
skammtafræðinnar	nveeg
og	c
viðfangsefnum	nhfþ
hennar	fpvee
hefur	sfg3en
verið	ssg
lýst	sþghen
gróflega	aa
er	sfg3en
hægt	lhensf
að	cn
huga	sng
að	aþ
þeim	fahfþ
heimspekilegu	lhfþvf
vandamálum	nhfþ
sem	ct
hún	fpven
hefur	sfg3en
í	aþ
för	nveþ
með	aþ
sér	fpveþ
.	.

Þær	favfn
spurningar	nvfn
sem	ct
menn	nkfn
spyrja	sfg3fn
sig	fpkfo
hvað	fshen
helst	aae
eru	sfg3fn
:	:
«	«
Fjallar	sfg3en
skammtafræði	nven
um	ao
«	«
raunverulegt	lheosf
ástand	nheo
»	»
hluta	nkfe
eða	c
eingöngu	aa
«	«
þekkingu	nveo
»	»
manna	nkfe
á	aþ
slíku	fbheþ
ástandi	nheþ
,	,
og	c
þá	aa
hvaða	fskfe
manna	nkfe
?	?
»	»

Eins	aa
og	c
ég	fp1en
lýsti	sfg1eþ
hér	aa
að	aa
ofan	aa
hafa	sfg3fn
menn	nkfn
reynt	ssg
að	cn
svara	sng
þessum	favfþ
spurningum	nvfþ
með	aþ
mismunandi	lvfþof
túlkunum	nvfþ
en	c
tilraunir	nvfn
stutt	aa
Kaupmannahafnartúlkunina	nveogs
.	.

Þar	aa
með	aa
er	sfg3en
þó	aa
ekki	aa
öll	foven
sagan	nveng
sögð	sþgven
því	aa
skilin	nhfng
á	aa
milli	ae
«	«
raunverulegs	lheesf
ástands	nhee
»	»
og	c
manngerðrar	lveesf
þekkingar	nvee
á	aþ
því	fpheþ
eru	sfg3fn
óljós	lhfnsf
.	.

Hið	ghen
mikla	lhenvf
forspárgildi	nhen
vísindanna	nhfeg
sem	ct
Laplace	e
hafði	sfg3eþ
spáð	ssg
fyrir	aa
um	aa
hvarf	sfg3eþ
því	aa
í	aþ
einu	tfheþ
vetfangi	nheþ
og	c
vísindamenn	nkfn
gátu	sfg3fþ
ekki	aa
lengur	aam
gefið	ssg
skýra	lveosf
og	c
ákveðna	lveosf
lýsingu	nveo
á	aþ
umheiminum	nkeþg
með	aþ
fræðum	nhfþ
sínum	fehfþ
.	.

Í	ao
hvert	foheo
sinn	nheo
sem	ct
það	fphen
myndast	sfm3en
gloppa	nven
í	aþ
vísindalegum	lvfþsf
kenningum	nvfþ
taka	sfg3fn
fræðimenn	nkfn
sig	fpkfo
til	aa
og	c
reyna	sfg3fn
,	,
með	aþ
misgóðum	lkeþsf
árangri	nkeþ
,	,
að	cn
fylla	sng
upp	aa
í	ao
hana	fpveo
.	.

Þótt	c
í	aþ
flestum	lhfþse
tilvikum	nhfþ
sé	svg3en
aðeins	aa
um	ao
fjarstæður	nvfo
eða	c
draumóra	nkfo
að	cn
ræða	sng
,	,
þá	aa
hefur	sfg3en
það	fphen
einnig	aa
gerst	ssm
að	c
þeir	fpkfn
hafi	svg3fn
haft	ssg
rétt	lheosf
fyrir	aþ
sér	fpkfþ
sem	ct
af	aþ
samtíðarmönnum	nkfþ
þóttu	sfg3fþ
vera	sng
hinir	gkfn
verstu	lkfnve
brjálæðingar	nkfn
.	.

Skammtafræði	nven
er	sfg3en
sér	fpkeþ
á	aþ
báti	nkeþ
hvað	fshen
slíkar	fbvfo
pælingar	nvfo
varðar	sfg3en
og	c
sigla	sfg3fn
nú	aa
margir	lkfnsf
hámenntaðir	lkfnsf
eðlisfræðingar	nkfn
móti	aþ
