Fossavatnsgangan	nvengs
e.t.v.	as
ofurlitlum	lkeþsf
einfara	nkeþ
en	c
hann	fpken
er	sfg3en
fremur	aam
heilsteyptur	lkensf
;	;
úrræðagóður	lkensf
og	c
viljasterkur	lkensf
.	.

Þegar	c
á	ao
söguna	nveog
líður	sfg3en
virkar	sfg3en
hann	fpken
hins	fakee
vegar	nkee
sem	c
rekald	nhen
.	.

Persónugerðin	nveng
og	c
tilvistarnauðin	nveng
falla	sfg3fn
ekki	aa
saman	aa
svo	aa
að	c
skáldsagan	nveng
verður	sfg3en
dálítið	aa
ótrúverðugari	lvenvm
fyrir	ao
bragðið	nheog
.	.

Hvað	fshen
sem	ct
því	fpheþ
líður	sfg3en
er	sfg3en
skáldsagan	nveng
virðingarverð	lvensf
tilraun	nven
til	ae
úttektar	nvee
á	aþ
íslensku	lheþsf
samfélagi	nheþ
,	,
einkum	aa
tilverunni	nveþg
í	aþ
sjávarplássi	nheþ
.	.

Jafnframt	aa
má	sfg3en
túlka	sng
hana	fpveo
sem	ct
tilvistarlega	lveosf
könnun	nveo
því	fpheþ
að	c
höfundur	nken
reynir	sfg3en
að	cn
varpa	sng
ljósi	nheþ
á	ao
örlög	nhfo
einstaklinga	nkfe
við	ao
erfið	lhfosf
skilyrði	nhfo
.	.

Maðurinn	nkeng
er	sfg3en
býsna	aa
einn	lkensf
í	aþ
þeirri	faveþ
lífssýn	nveþ
sem	ct
okkur	fp1fþ
birtist	sfm3en
í	aþ
sögunni	nveþg
og	c
virðist	sfm3en
ekki	aa
eiga	sng
í	ao
neitt	foheo
skjól	nheo
að	cn
venda	sng
.	.

Öll	fohfn
samskipti	nhfn
eru	sfg3fn
harðneskjuleg	lhfnsf
og	c
allt	fohen
að	aþ
því	fpheþ
grimm	lhfnsf
.	.

Kannski	aa
er	sfg3en
þetta	fahen
sú	faven
upplifun	nven
sem	ct
kynslóð	nven
Stefáns	nkee-s
Mána	nkee-s
hefur	sfg3en
af	aþ
lífinu	nheþg
.	.

Í	aþ
þessari	faveþ
úttekt	nveþ
er	sfg3en
raunar	aa
fólginn	sþgken
meginstyrkur	nken
skáldsögunnar	nveeg
hvað	fshen
sem	ct
líður	sfg3en
einstökum	lkfþsf
þáttum	nkfþ
hennar	fpvee
.	.

Skafti	nken-s
Þ.	as
Halldórsson	nken-s

MÉR	fp1eþ
þykir	sfg3en
ekki	aa
ólíklegt	lhensf
að	c
varðhaldsmenn	nkfn
kirkjulegrar	lveesf
trúar	nvee
á	aþ
Íslandi	nheþ-s
og	c
víðar	aam
hafi	svg3fn
sitthvað	foheo
við	ao
þá	faveo
guðfræði	nveo
að	cn
athuga	sng
sem	ct
birtist	sfm3en
í	aþ
bók	nveþ
Josteins	e
Gaarder	e
,	,
Í	aþ
spegli	nkeþ
,	,
í	aþ
gátu	nveþ
.	.

Ekki	aa
þar	aa
fyrir	aa
að	c
í	aþ
bókinni	nveþg
sé	svg3en
einhver	foken
andróður	nken
gegn	aþ
kristinni	lveþsf
trú	nveþ
,	,
hvað	fshen
þá	aa
guði	nkeþ
.	.

Hins	fakee
vegar	nkee
er	sfg3en
guðshugmynd	nven
Gaarders	e
líkt	aa
og	c
samsvarandi	lvenof
mynd	nven
höfundar	nkee
á	ao
borð	nheo
við	ao
Milton	e
eins	aa
og	c
hún	fpven
birtist	sfm3en
í	aþ
Paradísarmissi	nkeþ-s
spegill	nken
síns	fekee
tíma	nkee
.	.

Kannski	aa
er	sfg3en
það	fphen
raunar	aa
ein	foven
meginniðurstaða	nven
bókarinnar	nveeg
að	c
guðdómurinn	nkeng
sé	svg3en
spegilmynd	nven
okkar	fp1fe
eða	c
við	fp1fn
spegilmynd	nven
hans	fpkee
.	.

,	,
,	,
Auga	nhen
mannsins	nkeeg
er	sfg3en
sjálfur	fbken
spegillinn	nkeng
þar	aa
sem	c
sköpunin	nveng
í	aþ
meðvitund	nveþ
Guðs	nkee-s
mætir	sfg3en
sjálfri	fbveþ
sér	fpveþ
í	aþ
sköpuninni	nveþg
fyrir	aa
utan	aa
...	...

Sumir	fokfn
af	aþ
englunum	nkfþg
halda	sfg3fn
því	fpheþ
fram	aa
að	c
sérhvert	fohen
auga	nhen
sem	ct
sé	svg3en
sköpunarverk	nhen
Guðs	nkee-s
sé	svg3en
auga	nhen
Guðs	nkee-s
sjálfs	fbkee
...	...

Stundum	aa
gerist	sfm3en
það	fphen
að	c
manneskja	nven
lyftir	sfg3en
augum	nhfþ
sínum	fehfþ
í	ao
átt	nveo
til	ae
uppruna	nkee
síns	fekee
á	aþ
himnum	nkfþ
.	.

Það	fphen
er	sfg3en
þá	aa
sem	ct
Guð	nken-s
sér	sfg3en
sjálfan	fbkeo
sig	fpkeo
í	aþ
spegli	nkeþ
.	.

Bókina	nveog
byggir	sfg3en
Gaarder	e
upp	aa
sem	c
samtal	nheo
dauðvona	lveeof
stúlku	nvee
,	,
Sesselíu	nvee-s
,	,
og	c
engils	nkee
sem	ct
fram	aa
komur	x
í	aþ
Paradísarmissi	nkeþ-s
,	,
Aríels	nkee-s
,	,
og	c
er	sfg3en
þar	aa
sýndur	sþgken
sem	c
einn	foken
uppreisnarenglanna	nkfeg
þótt	c
annars	fokee
staðar	nkee
fái	svg3en
hann	fpken
virðulegri	lkeovm
sess	nkeo
.	.

Aríel	nken-s
er	sfg3en
m.	as
ö	as
o.	as
að	cn
hjálpa	sng
stúlkunni	nveþg
að	cn
takast	snm
á	aa
við	ao
dauðann	nkeog
.	.

Því	aa
er	sfg3en
sagan	nveng
tilfinningaþrungin	lvensf
og	c
viðkvæm	lvensf
án	ae
þess	fphee
þó	aa
að	c
nokkurn	fokeo
tíma	nkeo
sé	svg3en
farið	sþghen
yfir	ao
strikið	nheog
í	ao
velluna	nveog
.	.

Aríel	nken-s
Gaarders	e
er	sfg3en
megintúlkandi	nken
guðfræðinnar	nveeg
í	aþ
bókinni	nveþg
og	c
það	fpheo
gerir	sfg3en
hann	fpken
líkt	aa
og	c
uppreisnarengli	nkeþ
sæmir	sfg3en
.	.

Með	aþ
því	fpheþ
að	cn
tefla	sng
saman	aa
hinu	gheþ
mannlega	lheþvf
,	,
stundlega	lheþvf
og	c
veika	lheþvf
sem	ct
er	sfg3en
að	cn
verða	sng
að	aþ
dufti	nheþ
og	c
guðdóminum	nkeþg
í	aþ
líki	nheþ
engils	nkee
stillir	sfg3en
höfundurinn	nkeng
lesandanum	nkeþg
frammi	aa
fyrir	aþ
gátunni	nveþg
miklu	lveþvf
um	ao
tilveruna	nveog
og	c
neindina	nveog
sem	ct
allir	fokfn
óttast	sfm3fn
.	.

Öðrum	fokeþ
þræðinum	nkeþg
er	sfg3en
sagan	nveng
skilgreining	nven
á	aþ
mannlegri	lveþsf
tilveru	nveþ
.	.

Henni	fpveþ
er	sfg3en
beint	sþghen
að	aþ
barninu	nheþg
í	aþ
okkur	fp1fþ
og	c
hún	fpven
er	sfg3en
allt	fohen
eins	aa
við	ao
hæfi	nheo
fullorðins	lheesf
fólks	nhee
og	c
þroskaðra	lhfesf
barna	nhfe
og	c
unglinga	nkfe
.	.

Það	fphen
er	sfg3en
eitthvað	fohen
töfrandi	lhenof
við	ao
þessa	faveo
bók	nveo
.	.

Kannski	aa
hin	gven
einlæga	lvenvf
leit	nven
,	,
undrunin	nveng
yfir	aþ
breytileika	nkeþ
og	c
umfangi	nheþ
tilverunnar	nveeg
sem	ct
stöðugt	aa
er	sfg3en
að	cn
uppgötvast	snm
eða	c
þá	aa
myndhverfur	lkensf
stíllinn	nkeng
sem	ct
er	sfg3en
þó	aa
einfaldur	lkensf
og	c
tær	lkensf
.	.

Á	aþ
yfirborðinu	nheþg
gæti	svg3eþ
virst	ssm
að	c
Gaarder	e
aðhylltist	svm3eþ
einhverja	foveo
vísindalega	lveosf
rökhyggju	nveo
.	.

Engillinn	nkeng
og	c
stúlkan	nveng
kortleggja	sfg3fn
ítarlega	aa
og	c
af	aþ
vísindalegri	lveþsf
nákvæmni	nveþ
skilvit	nhfo
mannsins	nkeeg
,	,
fjalla	sfg3fn
um	ao
sameindafræði	nveo
heilans	nkeeg
og	c
jafnvel	aa
kosmíska	lveosf
stærð	nveo
alheimsins	nkeeg
af	aþ
fræðilegri	lveþsf
þekkingu	nveþ
.	.

Þegar	c
kemur	sfg3en
að	aþ
sköpunarverkinu	nheþg
og	c
guðdómnum	nkeþg
sjálfum	fbkeþ
duga	sfg3fn
þó	aa
fræðin	nhfng
ekki	aa
,	,
því	fpheþ
að	c
vísindamenn-	nkfn
og	c
mælingamenn	nkfn
,	,
,	,
skilja	sfg3fn
bara	aa
í	aþ
bútum	nkfþ
.	.

Þeir	fpkfn
skilja	sfg3fn
ekki	aa
að	c
þeir	fpkfn
sjá	sfg3fn
bara	aa
allt	foheo
í	aþ
spegli	nkeþ
,	,
í	aþ
gátu	nveþ
.	.

Það	fphen
er	sfg3en
ekki	aa
hægt	lhensf
að	cn
mæla	sng
eða	c
vigta	sng
engil	nkeo
.	.

Það	fphen
er	sfg3en
þar	aa
að	aa
auki	aa
ekki	aa
hægt	lhensf
að	cn
skoða	sng
spegil	nkeo
í	aþ
smásjá	nveþ
.	.

Árangurinn	nkeng
verður	sfg3en
bara	aa
sá	faken
að	c
maður	nken
sér	sfg3en
spegilmynd	nveo
sína	feveo
enn	aa
skýrar	aam
.	.

Þá	aa
er	sfg3en
betra	lhenvm
að	cn
beita	sng
svolitlu	lheþsf
hugmyndaflugi	nheþ

.	.

Því	aa
grípur	sfg3en
Gaarder	e
ekki	aa
til	ae
fræðilegrar	lveesf
rökvísi	nvee
eða	c
áþreifanlegra	lhfesf
sanninda	nhfe
í	aþ
umræðu	nveþ
sinni	feveþ
um	ao
guðdóminn	nkeog
.	.

Hann	fpken
lítur	sfg3en
fremur	aam
á	ao
guð	nkeo
sem	ct
andlega	lveosf
eigind	nveo
sem	ct
hvorki	c
verður	sfg3en
sönnuð	sþgven
né	c
afsönnuð	sþgven
enda	c
beinir	sfg3en
hann	fpken
sjónum	nvfþ
sínum	fevfþ
fremur	aam
að	aþ
hinni	gveþ
stuttu	lveþvf
mannlegu	lveþvf
tilveru	nveþ
andspænis	aþ
langlífi	nheþ
guðs	nkee
og	c
engla	nkfe
.	.

Þetta	fahen
leiðir	sfg3en
til	ae
þess	fphee
að	c
röksemdafærslan	nveng
einkennist	sfm3en
fremur	aam
af	aþ
líkingum	nvfþ
en	c
rökfræði	nveþ
.	.

Maðurinn	nkeng
er	sfg3en
spegilmynd	nven
guðs	nkee
.	.

Raunar	aa
færir	sfg3en
höfundurinn	nkeng
guð	nkeo
úr	aþ
hásæti	nheþ
sínu	feheþ
niður	aa
til	ae
mannsins	nkeeg
.	.

Þegar	c
hin	gven
deyjandi	lvenof
Sesselía	nven-s
leitar	sfg3en
eftir	aþ
huggun	nveþ
í	aþ
hugmyndinni	nveþg
um	ao
eilífð	nveo
sálarinnar	nveeg
drepur	sfg3en
Aríel	nken-s
spurningum	nvfþ
hennar	fpvee
á	ao
dreif	nveo
og	c
ræðir	sfg3en
um	ao
að	c
himnaríki	nhen
og	c
veröldin	nveng
séu	svg3fn
hér	aa
og	c
nú	aa
.	.

Englarnir	nkfng
í	aþ
sögu	nveþ
Gaarders	e
eru	sfg3fn
svo	aa
kosmískir	lkfnsf
og	c
afstæðir	lkfnsf
að	c
í	aþ
augum	nhfþ
þeirra	fpkfe
eru	sfg3fn
fastir	lkfnsf
hlutir	nkfn
loft	nhen
og	c
stjörnurnar	nvfng
og	c
smástirnin	nhfng
leikvellir	nkfn
.	.

Ævi	nven
mannsins	nkeeg
er	sfg3en
þeim	fpkfþ
örsmá	lvensf
og	c
stutt	lvensf
og	c
þegar	c
Sesselía	nven-s
dregur	sfg3en
þá	faveo
ályktun	nveo
af	aþ
orðræðu	nveþ
sinni	feveþ
að	c
hún	fpven
sé	svg3en
bara	aa
hér	aa
í	ao
þetta	faheo
sinn	nheo
og	c
bætir	sfg3en
við	aa
:	:
,	,
,	,
Og	c
ég	fp1en
kem	sfg1en
aldrei	aa
aftur	aa
,	,
svarar	sfg3en
Aríel	nken-s
að	aþ
bragði	nheþ
:	:
,	,
,	,
Þú	fp2en
ert	sfg2en
í	aþ
eilífðinni	nveþg
núna	aa
.	.

Og	c
hún	fpven
kemur	sfg3en
aftur	aa
um	ao
alla	foveo
eilífð	nveo
.	.

Efasemdir	nvfn
læðast	sfm3fn
einnig	aa
að	aa
varðandi	slg
hugmyndir	nvfo
um	ao
fullkomleika	nkeo
og	c
almætti	nheo
guðs	nkee
.	.

Ef	c
guð	nken
er	sfg3en
ekki	aa
fullkominn	lkensf
er	sfg3en
auðveldara	lhenvm
að	cn
trúa	sng
á	ao
ófullkomleika	nkeo
sköpunarverksins	nheeg
.	.

Aríel	nken-s
bendir	sfg3en
á	ao
þá	faveo
mótsagnafullu	lveovf
setningu	nveo
hins	gkee
þríeina	lkeevf
guðs	nkee
sem	ct
birtist	sfm3en
í	aþ
Kristi	nkeþ-s
á	aþ
krossinum	nkeþg
og	c
ávarpar	sfg3en
sjálfan	fbkeo
sig	fpkeo
á	aþ
dauðastundu	nveþ
:	:
,	,
,	,
Guð	nken-s
minn	feken
,	,
Guð	nken-s
minn	feken
,	,
hví	aa
hefur	sfg2en
þú	fp2en
yfirgefið	ssg
mig	fp1eo
?	?

Og	c
hann	fpken
bætir	sfg3en
við	aa
:	:
,	,
,	,
Segðu	sbg2en
það	fpheo
bara	aa
Sessilía	nven-s
!	!

Segðu	sbg2en
það	fpheo
bara	aa
aftur	aa
og	c
aftur	aa
.	.

Vegna	ae
þess	fphee
að	c
það	fphen
er	sfg3en
eitthvað	fohen
í	aþ
himingeimnum	nkeþg
sem	ct
passar	sfg3en
ekki	aa
.	.

Það	fphen
er	sfg3en
eitthvað	fohen
sem	ct
farið	ssg
hefur	sfg3en
úrskeiðis	aa
í	aþ
teikningunni	nveþg
miklu	lveþvf
.	.

Það	fphen
eru	sfg3fn
einmitt	aa
þessi	faken
efi	nken
,	,
þessi	faven
lifandi	lvenof
,	,
gagnrýna	lvenvf
hugsun	nven
sem	ct
gerir	sfg3en
Í	aþ
spegli	nkeþ
,	,
í	aþ
gátu	nveþ
að	aþ
góðri	lveþsf
skáldsögu	nveþ
og	c
áhrifameiri	lveþvm
en	c
ella	aa
.	.

Jostein	e
Gaarder	e
er	sfg3en
einn	foken
þekktasti	lkenve
rithöfundur	nken
samtímans	nkeeg
.	.

Það	fphen
er	sfg3en
engin	foven
tilviljun	nven
eins	aa
og	c
þeir	fpkfn
vita	sfg3fn
sem	ct
lesið	ssg
hafa	sfg3fn
Veröld	nveo-s
Soffíu	nvee-s
,	,
Vita	e
brevis	e
og	c
fleiri	lvfovm
bækur	nvfo
eftir	ao
hann	fpkeo
.	.

Ég	fp1en
hygg	sfg1en
að	c
þessi	faven
bók	nven
sé	svg3en
með	aþ
hans	fpkee
fremstu	lhfþve
ritum	nhfþ
Það	fphen
rýrir	sfg3en
svo	aa
heldur	aam
ekki	aa
gildi	nheo
hennar	fpvee
að	c
þýðing	nven
Ernu	nvee-s
Árnadóttur	nvee-s
bera	sng
vott	nkeo
um	ao
natni	nveo
,	,
góð	lhfosf
tök	nhfo
á	aþ
íslensku	lheþsf
máli	nheþ
og	c
djúpan	lkeosf
skilning	nkeo
og	c
ást	nveo
á	aþ
efninu	nheþg
.	.

Texti	nken
bókarinn	x
er	sfg3en
ljóðrænn	lkensf
og	c
kliðmjúkur	lkensf
og	c
unun	nven
að	cn
lesa	sng
.	.

Skafti	nken-s
Þ.	as
Halldórsson	nken-s

HARALDUR	nken-s
Bessason	nken-s
er	sfg3en
allt	fohen
í	aa
senn	aa
:	:
Skagfirðingur	nken-s
,	,
heimsborgari	nken
og	c
húmoristi	nken
.	.

Ljóst	lhensf
er	sfg3en
að	c
umsjónarmenn	nkfn
þessa	fahee
afmælisrits	nhee
hafa	sfg3fn
falið	ssg
bréfriturunum	nkfþg
að	cn
taka	sng
mið	nheo
af	aþ
þeim	favfþ
staðreyndum	nvfþ
,	,
en	c
þeir	fpkfn
eru	sfg3fn
fjörutíu	tfkfn
og	c
sex	tfkfn
talsins	nheeg
,	,
hvorki	c
meira	lhenvm
né	c
minna	lhenvm
.	.

Skáld	nhfn
og	c
fræðimenn	nkfn
eru	sfg3fn
þar	aa
í	aþ
meirihluta	nkeþ
,	,
en	c
stjórnmálamenn	nkfn
og	c
almennir	lkfnsf
borgarar	nkfn
láta	sfg3fn
sig	fpkfo
ekki	aa
heldur	aam
vanta	sng
.	.

Þarna	aa
er	sfg3en
víðast	aae
hvar	aa
slegið	sþghen
á	ao
létta	lkfosf
strengi	nkfo
þótt	c
sumir	fokfn
höfundanna	nkfeg
séu	svg3fn
þekktari	lkfnvm
fyrir	ao
annað	foheo
.	.

Þannig	aa
reyna	sfg3fn
þeir	fpkfn
að	cn
líkja	sng
eftir	aþ
afmælisbarninu	nheþg
.	.

Og	c
með	aþ
þokkalegum	lkeþsf
árangri	nkeþ
-	-
allflestir	lkfnse
.	.

Sum	fohfn
bréfin	nhfng
eru	sfg3fn
harla	aa
persónuleg	lhfnsf
.	.

Til	ae
dæmis	nhee
segir	sfg3en
Steinþór	nken-s
Guðbjartsson	nken-s
frá	aþ
ferðum	nvfþ
þeirra	fakfe
félaganna	nkfegs
austan	ae
hafs	nhee
og	c
vestan	aa
og	c
kátlegum	lvfþsf
uppákomum	nvfþ
á	aþ
langferðaleiðum	nvfþ
.	.

Bréfið	nheog
stílar	sfg3en
hann	fpken
í	aþ
annarri	foveþ
persónu	nveþ
,	,
eins	aa
og	c
reyndar	aa
fleiri	lkfnvm
.	.

Guðrún	nven-s
Jörundsdóttir	nven-s
segir	sfg3en
líka	aa
ferðasögu	nveo
frá	aþ
Ameríku	nveþ-s
.	.

En	c
hún	fpven
varð	sfg3eþ
þeirrar	favee
ánægju	nvee
aðnjótandi	lvenof
að	cn
aka	sng
með	aþ
Haraldi	nkeþ-s
eftir	aþ
víðáttumiklum	lvfþsf
sléttum	nvfþ
Vesturheims	nkee-s
.	.

Með	aþ
þeim	fphfþ
í	aþ
för	nveþ
var	sfg3eþ
sonur	nken
hennar	fpvee
og	c
aldurhnigin	lvensf
vestur-íslensk	lvensf
heiðurskona	nven
sem	ct
syninum	nkeþg
þótti	sfg3eþ
í	aþ
meira	lheþvm
lagi	nheþ
athyglis-	lvensf
og	c
skoðunarverð	lvensf
!	!

Guðrún	nven-s
býr	sfg3en
með	aþ
sama	fbkeþ
hætti	nkeþ
og	c
Haraldur	nken-s
yfir	aþ
þessum	fakeþ
ísmeygilega	lkeþvf
undirliggjandi	lkeþof
húmor	nkeþ
sem	ct
seint	aa
verður	sfg3en
skýrður	sþgken
né	c
skilgreindur	sþgken
en	c
ratar	sfg3en
þó	aa
alltaf	aa
rétta	lveosf
leið	nveo
að	aþ
hjörtum	nhfþ
áheyrenda	nkfe
.	.

(	(
Leiðrétt	sþghen
skal	sfg3en
að	c
þáttur	nken
Guðrúnar	nvee-s
hefst	sfm3en
á	aþ
bls.	as
165	ta
en	c
ekki	aa
164	ta
eins	aa
og	c
stendur	sfg3en
í	aþ
efnisskrá	nveþ
.	.
)	)
Ingibjörg	nven-s
Hjartardóttir	nven-s
segir	sfg3en
frá	aþ
leiklist	nveþ
og	c
sauðfjárbúskap	nkeþ
og	c
kynnum	nhfþ
sínum	fehfþ
af	aþ
Haraldi	nkeþ-s
,	,
allt	fohen
í	aþ
einum	tfkeþ
pakka	nkeþ
.	.

Emma	nven-s
Eyþórsdóttir	nven-s
hnykkir	sfg3en
á	aþ
sömu	fbveþ
staðreynd	nveþ
,	,
það	fphen
er	sfg3en
að	c
íslensk	lvensf
bókmenning	nven
sé	svg3en
ekki	aa
»	»
langt	aa
frá	aþ
landbúnaðinum	nkeþg
«	«
.	.

Kristján	nken-s
Kristjánsson	nken-s
gerist	sfm3en
bæði	c
opinskár	lkensf
og	c
einlægur	lkensf
og	c
gefur	sfg3en
afmælisbarninu	nheþg
þessa	faveo
ágætiseinkunn	nveo
:	:
»	»
Þú	fp2en
ert	sfg2en
,	,
kæri	lkenvf
Haraldur	nken-s
,	,
líklega	aa
skemmtilegasti	lkenve
maður	nken
sem	ct
ég	fp1en
hef	sfg1en
kynnst	ssm
um	ao
dagana	nkfog
.	.
«	«

Víða	aa
er	sfg3en
drepið	sþghen
á	ao
málefni	nhfo
landsbyggðarinnar	nveeg
.	.

En	c
Haraldur	nken-s
varð	sfg3eþ
-	-
auk	ae
þess	fphee
að	cn
vera	sng
fæddur	sþgken
og	c
uppalinn	lkensf
í	aþ
sveit	nveþ
-	-
fyrsti	lkenve
rektor	nken
Háskólans	nkeegs
á	aþ
Akureyri	nveþ-s
.	.

Birgir	nken-s
Guðmundsson	nken-s
ræðir	sfg3en
um	ao
þátttökusamfélagið	nheog
á	aþ
landsbyggðinni	nveþg
,	,
þar	aa
sem	c
allir	fokfn
verði	svg3fn
að	cn
leggja	sng
fram	aa
sinn	fekeo
skerf	nkeo
í	aþ
menningarlífinu	nheþg
,	,
og	c
áheyrendasamfélagið	nheog
á	aþ
höfuðborgarsvæðinu	nheþg
eins	aa
og	c
hann	fpken
orðar	sfg3en
það	fpheo
.	.

Hvor	foven
tveggja	tfvfe
skilgreiningin	nveng
er	sfg3en
sannleikanum	nkeþg
samkvæmt	aþ
.	.

Guðrún	nven-s
Gyða	nven-s
Sveinsdóttir	nven-s
rekur	sfg3en
bernsku-	nvfo
og	c
æskuminningar	nvfo
úr	aþ
Þykkvabænum	nkeþgs
og	c
segir	sfg3en
í	aþ
leiðinni	nveþg
frá	aþ
lífsbaráttunni	nveþg
þar	aa
um	ao
slóðir	nvfo
eins	aa
og	c
hún	fpven
gekk	sfg3eþ
og	c
gerðist	sfm3eþ
fyrir	ao
daga	nkfo
vélavinnu	nvee
.	.

Hún	fpven
getur	sfg3en
þess	fphee
og	aa
hversu	aa
sveitungar	nkfn
hennar	fpvee
urðu	sfg3fþ
endur	aa
fyrir	aþ
löngu	lheþsf
frægir	lkfnsf
fyrir	ao
ósvinnu	nveo
þá	faveo
-	-
að	c
ýmsum	fokfþ
þótti	sfg3eþ
-	-
að	cn
leggja	sng
sér	fpkfþ
til	ae
munns	nkee
hrossakjöt	nheo
.	.

Það	fphen
var	sfg3eþ
að	aþ
sjálfsögðu	lheþsf
ári	nheþ
og	c
öld	nveþ
áður	aa
en	c
íslenskur	lkensf
almenningur	nken
bætti	sfg3eþ
því	fpheþ
almennt	aa
á	ao
matseðil	nkeo
sinn	fekeo
!	!

Guðrún	nven-s
Gyða	nven-s
telur	sfg3en
hrossakjötið	nheog
hafa	sng
bjargað	ssg
ófáum	lkfþsf
frá	aþ
kröm	nveþ
og	c
neyð	nveþ
á	aþ
harðindaárum	nhfþ
19.	ta
aldar	nvee
.	.

Íslenskufræðingar	nkfn
eru	sfg3fn
að	aþ
sjálfsögðu	lheþsf
fjölmennir	lkfnsf
í	aþ
hópnum	nkeþg
.	.

Jónas	nken-s
Kristjánsson	nken-s
fer	sfg3en
ofan	aa
í	ao
Grænlendinga	nkfe-s
sögu	nveo
og	c
Eiríks	nkee-s
sögu	nveo
rauða	lkeevf
sem	ct
hann	fpken
varð	sfg3eþ
skiljanlega	aa
að	cn
styðjast	snm
við	aa
þegar	c
hann	fpken
samdi	sfg3eþ
skáldsögu	nveo
sína	feveo
,	,
Veröld	nven-s
víð	lvensf
.	.

Þokkalega	aa
var	sfg3eþ
henni	fpveþ
tekið	sþghen
þegar	c
hún	fpven
kom	sfg3eþ
út	aa
fyrir	aþ
þrem	tfhfþ
árum	nhfþ
,	,
en	c
engan	fokeo
veginn	nkeog
eins	aa
og	c
hún	fpven
átti	sfg3eþ
skilið	ssg
.	.

Það	fphen
er	sfg3en
Vínlandsþáttur	nken-s
sögu	nvee
sinnar	fevee
sem	ct
Jónas	nken-s
ræðir	sfg3en
sérstaklega	aa
.	.

Að	aþ
mínum	fekeþ
dómi	nkeþ
er	sfg3en
skáldverk	nhen
hans	fpkee
þó	aa
merkilegra	lhenvm
fyrir	ao
annað	foheo
.	.

Helga	nven-s
Kress	nven-s
skrifar	sfg3en
um	ao
setstokka	nkfo
og	c
skírskotar	sfg3en
meðal	ae
annars	fohee
til	ae
Eiríks	nkee-s
sögu	nvee
rauða	lkeevf
og	c
skáldsögu	nvee
Jónasar	nkee-s
.	.

En	c
hvers	fokee
konar	nkee
áhöld	nhfn
voru	sfg3fþ
þessir	fakfn
setstokkar	nkfn
?	?

»	»
Ég	fp1en
leyfi	sfg1en
mér	fp1eþ
hér	aa
í	aþ
þessu	faheþ
afmælisbréfi	nheþ
að	cn
setja	sng
fram	aa
formlega	aa
þá	faveo
tilgátukenningu	nveo
að	c
setstokkar	nkfn
Eiríks	nkee-s
séu	svg3fn
kamarssetur	nvfn
sem	ct
ekki	aa
hafi	svg3en
þótt	ssg
við	ao
hæfi	nheo
að	cn
lýsa	sng
nánar	aam
í	aþ
sögu	nveþ
hans	fpkee
,	,
enda	c
ástæðulaust	lhensf
að	cn
gera	sng
ráð	nheo
fyrir	aþ
að	c
svo	aa
miklir	lkfnsf
landafundamenn	nkfn
...	...

hafi	svg3fn
þurft	ssg
á	aþ
slíkum	fbvfþ
setum	nvfþ
að	cn
halda	sng
.	.
«	«

Þetta	faheo
segir	sfg3en
Helga	nven-s
.	.

Annars	aa
er	sfg3en
þáttur	nken
hennar	fpvee
skrifaður	sþgken
með	aþ
nokkrum	fokeþ
ádeilubrag	nkeþ
.	.

Hún	fpven
er	sfg3en
að	cn
sneiða	sng
að	aþ
Íslendingum	nkfþ-s
fyrir	ao
meintan	lkeosf
tepruskap	nkeo
.	.

Sá	faken
ágæti	lkenvf
málfræðingur	nken
,	,
Gísli	nken-s
Jónsson	nken-s
,	,
stjakar	sfg3en
vísindunum	nhfþg
til	ae
hliðar	nvee
en	c
rekur	sfg3en
sig	fpkeo
þess	fphee
í	ao
stað	nkeo
eftir	aþ
rótum	nvfþ
limrunnar	nveeg
í	aþ
íslenskum	lkeþsf
kveðskap	nkeþ
.	.

Af	aþ
dæmum	nhfþ
þeim	fahfþ
,	,
sem	ct
hann	fpken
tekur	sfg3en
,	,
er	sfg3en
nokkuð	fohen
ljóst	lhensf
að	c
bragarháttur	nken
sá	faken
mun	sfg3en
tíðast	aae
viðhafður	sþgken
þegar	c
menn	nkfn
láta	sfg3fn
alvöruna	nveog
lönd	nhfo
og	c
leið	nveo
en	c
bregða	sfg3fn
fyrir	ao
sig	fpkfo
þversögnum	nvfþ
og	c
gamanmálum	nhfþ
.	.

Vésteinn	nken-s
Ólason	nken-s
dregur	sfg3en
upp	aa
mannlífsmyndir	nvfo
úr	aþ
Austfjarðaþokunni	nveþgs
.	.

Hermann	nken-s
Pálsson	nken-s
fer	sfg3en
í	ao
mannjöfnuð	nkeo
:	:
Húnvetningurinn	nkengs
andspænis	aþ
Skagfirðingnum	nkeþgs
.	.

Útkoman	nveng
verður	sfg3en
nánast	aae
sú	faven
að	c
báðir	fokfn
standi	svg3fn
fremstir	lkfnse
.	.

Bragi	nken-s
Guðmundsson	nken-s
fetar	sfg3en
eftir	aþ
sömu	fbveþ
slóð	nveþ
en	c
horfir	sfg3en
til	ae
manna	nkfe
og	c
málefna	nhfe
út	aa
frá	aþ
öðru	foheþ
sjónarhorni	nheþ
.	.

Matthías	nken-s
Johannessen	nken-s
rifjar	sfg3en
upp	aa
endurminningar	nvfo
frá	aþ
lokaprófi	nheþ
í	aþ
Háskólanum	nkeþgs
og	c
minnist	sfm3en
um	ao
